Data Table for Weekly Deaths and Weekly % of ED Visits - The United States
Date generated: Wed Nov 06 2024 11:35:38 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,Weekly % of ED Visits,Death Data As Of
United States,Oct 26 2024,261,0.56,Oct 31 2024
United States,Oct 19 2024,532,0.6,Oct 31 2024
United States,Oct 12 2024,706,0.7,Oct 31 2024
United States,Oct  5 2024,905,0.85,Oct 31 2024
United States,Sep 28 2024,985,1.11,Oct 31 2024
United States,Sep 21 2024,1059,1.43,Oct 31 2024
United States,Sep 14 2024,1210,1.76,Oct 31 2024
United States,Sep  7 2024,1186,2.11,Oct 31 2024
United States,Aug 31 2024,1327,2.43,Oct 31 2024
United States,Aug 24 2024,1220,2.61,Oct 31 2024
United States,Aug 17 2024,1060,2.6,Oct 31 2024
United States,Aug 10 2024,1044,2.56,Oct 31 2024
United States,Aug  3 2024,965,2.5,Oct 31 2024
United States,Jul 27 2024,836,2.27,Oct 31 2024
United States,Jul 20 2024,699,1.97,Oct 31 2024
United States,Jul 13 2024,567,1.66,Oct 31 2024
United States,Jul  6 2024,515,1.39,Oct 31 2024
United States,Jun 29 2024,439,1.08,Oct 31 2024
United States,Jun 22 2024,430,0.9,Oct 31 2024
United States,Jun 15 2024,365,0.7,Oct 31 2024
United States,Jun  8 2024,312,0.58,Oct 31 2024
United States,Jun  1 2024,325,0.49,Oct 31 2024
United States,May 25 2024,343,0.41,Oct 31 2024
United States,May 18 2024,338,0.37,Oct 31 2024
United States,May 11 2024,335,0.33,Oct 31 2024
United States,May  4 2024,425,0.34,Oct 31 2024
United States,Apr 27 2024,425,0.35,Oct 31 2024
United States,Apr 20 2024,498,0.38,Oct 31 2024
United States,Apr 13 2024,567,0.44,Oct 31 2024
United States,Apr  6 2024,631,0.53,Oct 31 2024
United States,Mar 30 2024,736,0.59,Oct 31 2024
United States,Mar 23 2024,848,0.65,Oct 31 2024
United States,Mar 16 2024,1039,0.79,Oct 31 2024
United States,Mar  9 2024,1100,1.02,Oct 31 2024
United States,Mar  2 2024,1266,1.29,Oct 31 2024
United States,Feb 24 2024,1323,1.57,Oct 31 2024
United States,Feb 17 2024,1389,1.77,Oct 31 2024
United States,Feb 10 2024,1617,1.94,Oct 31 2024
United States,Feb  3 2024,1742,1.97,Oct 31 2024
United States,Jan 27 2024,2134,2.1,Oct 31 2024
United States,Jan 20 2024,2360,2.28,Oct 31 2024
United States,Jan 13 2024,2580,2.63,Oct 31 2024
United States,Jan  6 2024,2493,3.12,Oct 31 2024
United States,Dec 30 2023,2230,3.42,Oct 31 2024
United States,Dec 23 2023,1935,2.81,Oct 31 2024
United States,Dec 16 2023,1845,2.35,Oct 31 2024
United States,Dec  9 2023,1793,2.11,Oct 31 2024
United States,Dec  2 2023,1731,2.06,Oct 31 2024
United States,Nov 25 2023,1424,1.89,Oct 31 2024
United States,Nov 18 2023,1431,1.61,Oct 31 2024
United States,Nov 11 2023,1394,1.51,Oct 31 2024
United States,Nov  4 2023,1246,1.33,Oct 31 2024
United States,Oct 28 2023,1292,1.37,Oct 31 2024
United States,Oct 21 2023,1392,1.36,Oct 31 2024
United States,Oct 14 2023,1315,1.36,Oct 31 2024
United States,Oct  7 2023,1398,1.47,Oct 31 2024
United States,Sep 30 2023,1456,1.69,Oct 31 2024
United States,Sep 23 2023,1417,1.89,Oct 31 2024
United States,Sep 16 2023,1410,2.06,Oct 31 2024
United States,Sep  9 2023,1313,2.42,Oct 31 2024
United States,Sep  2 2023,1188,2.47,Oct 31 2024
United States,Aug 26 2023,1067,2.41,Oct 31 2024
United States,Aug 19 2023,921,1.97,Oct 31 2024
United States,Aug 12 2023,752,1.59,Oct 31 2024
United States,Aug  5 2023,673,1.29,Oct 31 2024
United States,Jul 29 2023,553,1.04,Oct 31 2024
United States,Jul 22 2023,540,0.82,Oct 31 2024
United States,Jul 15 2023,510,0.68,Oct 31 2024
United States,Jul  8 2023,492,0.61,Oct 31 2024
United States,Jul  1 2023,542,0.54,Oct 31 2024
United States,Jun 24 2023,583,0.51,Oct 31 2024
